office,district,city_town,Ward,Pct,name_dem,name_gop,name_third_party,name_write_in,party_third_party,party_write_in,election_id,votes_dem,votes_gop,votes_third_party,votes_write_in,all_others,blanks,total_votes_cast
Governor,NA,Abington,-,1,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,622,556,NA,NA,0,10,1209
Governor,NA,Abington,-,2,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,610,600,NA,NA,2,10,1233
Governor,NA,Abington,-,3,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,670,672,NA,NA,1,9,1372
Governor,NA,Abington,-,4,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,705,677,NA,NA,0,10,1404
Governor,NA,Abington,-,5,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,713,672,NA,NA,1,13,1418
Governor,NA,Acton,-,1,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,782,257,NA,NA,1,11,1072
Governor,NA,Acton,-,2,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,1177,361,NA,NA,3,8,1572
Governor,NA,Acton,-,3,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,1381,355,NA,NA,1,17,1783
Governor,NA,Acton,-,4,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,1252,290,NA,NA,1,14,1581
Governor,NA,Acton,-,5,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,1221,306,NA,NA,1,18,1571
Governor,NA,Acton,-,6,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,841,220,NA,NA,1,9,1090
Governor,NA,Acton,-,6A,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,379,72,NA,NA,0,2,467
Governor,NA,Acton,-,7,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,903,293,NA,NA,0,15,1224
Governor,NA,Acushnet,-,1,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,564,645,NA,NA,1,7,1248
Governor,NA,Acushnet,-,2,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,488,760,NA,NA,1,8,1269
Governor,NA,Acushnet,-,2A,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,60,76,NA,NA,0,0,137
Governor,NA,Acushnet,-,3,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,623,842,NA,NA,0,9,1504
Governor,NA,Adams,-,1,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,315,145,NA,NA,0,2,474
Governor,NA,Adams,-,2,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,409,211,NA,NA,1,5,634
Governor,NA,Adams,-,3,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,355,218,NA,NA,0,3,587
Governor,NA,Adams,-,4,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,324,178,NA,NA,0,3,518
Governor,NA,Adams,-,5,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,470,213,NA,NA,0,4,695
Governor,NA,Agawam,-,1,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,521,617,NA,NA,1,8,1166
Governor,NA,Agawam,-,2,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,735,842,NA,NA,1,25,1632
Governor,NA,Agawam,-,3,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,560,679,NA,NA,0,13,1272
Governor,NA,Agawam,-,4,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,540,552,NA,NA,2,6,1125
Governor,NA,Agawam,-,5,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,789,790,NA,NA,1,16,1624
Governor,NA,Agawam,-,6,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,629,745,NA,NA,0,16,1412
Governor,NA,Agawam,-,7,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,667,927,NA,NA,1,13,1627
Governor,NA,Agawam,-,8,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,719,797,NA,NA,2,8,1543
Governor,NA,Alford,-,1,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,217,42,NA,NA,0,11,272
Governor,NA,Amesbury,-,1,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,1042,511,NA,NA,1,10,1579
Governor,NA,Amesbury,-,2,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,842,348,NA,NA,0,11,1227
Governor,NA,Amesbury,-,3,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,972,411,NA,NA,4,3,1412
Governor,NA,Amesbury,-,4,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,656,327,NA,NA,2,7,1014
Governor,NA,Amesbury,-,5,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,777,530,NA,NA,2,12,1344
Governor,NA,Amesbury,-,6,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,718,320,NA,NA,2,9,1062
Governor,NA,Amherst,-,1A,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,651,51,NA,NA,2,7,721
Governor,NA,Amherst,-,1B,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,365,33,NA,NA,0,1,404
Governor,NA,Amherst,-,2A,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,428,44,NA,NA,0,3,481
Governor,NA,Amherst,-,2B,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,1201,121,NA,NA,2,15,1357
Governor,NA,Amherst,-,3A,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,389,49,NA,NA,2,9,454
Governor,NA,Amherst,-,3B,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,1100,101,NA,NA,3,11,1229
Governor,NA,Amherst,-,4A,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,585,42,NA,NA,0,1,638
Governor,NA,Amherst,-,4B,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,369,15,NA,NA,0,3,388
Governor,NA,Amherst,-,5A,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,431,27,NA,NA,0,9,473
Governor,NA,Amherst,-,5B,Maura Healey,Geoff Diehl,Frank H. Reed,NA,Libertarian,NA,154338,1847,137,NA,NA,2,10,2015
